Participant,GoodBad,Angle1,Angle2,Angle3
1,0,21.266315,94.7284,0
1,0,21.379498,94.6387,0.019782
1,0,21.448584,94.5997,0.052339
1,0,21.12011,94.7436,0.076617
1,0,21.280651,94.5692,0.120331
1,0,21.900925,94.1859,0.157017
1,0,21.448471,94.4821,0.191797
1,0,21.723667,94.3966,0.218503
1,0,21.45413,94.603,0.253338
1,0,22.277273,94.4094,0.281855
1,0,23.689589,93.9406,0.312787
1,0,25.044191,93.4381,0.335718
1,0,25.069576,93.5226,0.400563
1,0,24.010269,94.3367,0.345484
1,0,23.412674,94.9057,0.34435
1,0,23.300779,95.0271,0.432959
1,0,21.707026,95.8633,0.529341
1,0,20.297462,96.8301,0.561626
1,0,18.885099,97.6813,0.617706
1,0,16.091444,99.4623,0.681275
1,0,13.646217,101.4733,0.748343
1,0,10.419486,103.7857,0.799174
1,0,0.331022,109.7105,0.841862
1,0,0.019782,110.3948,0.90655
1,0,0.019782,110.8363,0.957975
1,0,0,111.2796,1.000147
1,0,0.027976,111.6176,1.015485
1,0,0,111.8768,1.03722
1,0,0.019782,112.0858,1.095394
1,0,0,112.079,1.171195
1,0,0,111.7633,1.261295
1,0,0,111.288,1.347556
1,0,0,110.7449,1.477108
1,0,0,110.0611,1.628347
1,0,0,109.2625,1.783886
1,0,0.019782,108.364,1.9108
1,0,0.027976,107.3257,2.028254
1,0,0,106.1142,2.186954
1,0,0,104.853,2.310798
1,0,0.019782,103.7741,2.414354
1,0,0,102.8041,2.495753
1,0,0,101.9753,2.593444
1,0,0,101.0445,2.663445
1,0,0.027976,100.2309,2.668511
1,0,0,99.5193,2.729934
1,0,0.019782,98.9791,2.765129
1,0,0.027976,98.4909,2.830822
1,0,0.019782,98.0123,2.884798
1,0,0,97.5389,2.951411
1,0,0,97.0268,3.062796
1,0,0,96.5282,3.195124
1,0,0.019782,96.1215,3.3319
1,0,0,95.9934,3.460626
1,0,0,95.8665,3.547458
1,0,0,95.878,3.623852
1,0,0,95.8765,3.73675
1,0,0,95.9451,3.932035
1,0,0,95.9614,4.047624
1,0,0.019782,95.8972,4.132707
1,0,0.019782,95.9133,4.203608
1,0,0,95.8841,4.350371
1,0,0,95.6765,4.502804
1,0,0,95.6446,4.647008
1,0,0,95.5264,4.717253
1,0,0,95.527,4.837885
1,0,0.019782,95.3992,4.958949
1,0,0.027976,95.3773,5.054468
1,0,0,95.3871,5.169186
1,0,0,95.4354,5.212106
1,0,0,95.4284,5.246653
1,0,0.019782,95.4657,5.281976
1,0,0.019782,95.3459,5.289502
1,0,0.019782,95.458,5.038667
1,0,0,95.3441,5.038239
1,0,0.019782,95.1637,5.046787
1,0,0,94.9841,5.086963
1,0,0,94.7415,5.109714
1,0,0.027976,94.4336,5.187613
1,0,0,94.1115,5.2628
1,0,0.027976,93.9594,5.314854
1,0,0,93.8492,5.321081
1,0,0,93.8171,5.333477
1,0,0,94.0385,5.338214
1,0,0.027976,94.7377,5.331382
1,0,0.027976,95.384,5.252401
1,0,0,95.8512,5.224947
1,0,0,96.0107,5.222509
1,0,0,96.1637,5.192672
1,0,0.019782,96.6204,5.1295
1,0,0.027976,97.2655,5.072036
1,0,0.027976,98.0051,4.974687
1,0,0,98.7485,4.869006
1,0,0.019782,99.3684,4.773149
1,0,0,99.9679,4.612398
1,0,0,100.4054,4.48703
1,0,0.019782,101.1803,4.287884
1,0,0.019782,102.042,4.079864
1,0,0,102.3873,3.937262
1,0,0,102.2458,3.829298
1,0,0,102.3731,3.630977
1,0,0,102.8346,3.376668
1,0,0,103.1394,3.145351
1,0,0.019782,103.4421,2.920004
1,0,0,103.6178,2.717718
1,0,0,103.4507,2.414678
1,0,0,103.5956,2.142471
1,0,14.237554,96.6552,1.911824
1,0,19.863174,93.9463,1.740576
1,0,20.002834,94.2982,2.234846
1,0,21.130648,93.6876,2.116461
1,0,21.915176,93.7257,2.008765
1,0,22.246155,94.0884,1.920302
1,0,24.449854,93.8564,1.77233
1,0,24.233269,94.4899,1.634465
1,0,25.538067,94.3266,1.499591
1,0,26.650732,94.0142,1.419962
1,0,27.27,93.7623,1.366017
1,0,27.427433,93.7402,1.319231
1,0,27.62723,93.6332,1.226209
1,0,28.622229,92.9999,1.238752
1,0,29.139618,92.5869,1.284204
1,0,29.025021,92.4157,1.282222
1,0,29.659248,91.8471,1.321454
2,1,27.008774,93.0111,0
2,1,27.221691,92.8891,0.019782
2,1,27.439899,92.5425,0.027976
2,1,26.842468,92.6119,0.052339
2,1,26.160797,92.7171,0.111906
2,1,25.606085,92.6992,0.139882
2,1,26.180689,92.1516,0.161925
2,1,26.366804,92.0444,0.197823
2,1,26.047882,92.3218,0.282549
2,1,25.833378,92.4259,0.397128
2,1,25.191093,92.8113,0.545364
2,1,23.615198,93.727,0.753554
2,1,21.757549,94.7553,1.03854
2,1,19.607065,96.154,1.393531
2,1,17.180187,97.6699,1.763363
2,1,14.912614,99.2424,2.16003
2,1,13.633909,100.4482,2.577546
2,1,9.401992,103.0117,3.016101
2,1,5.087464,105.5375,3.447532
2,1,0,108.0761,3.810177
2,1,0,107.6181,4.208032
2,1,0,107.099,4.77758
2,1,0,106.7659,5.259
2,1,0.019782,106.7524,5.733469
2,1,0,106.6803,6.221038
2,1,0,106.6517,6.718168
2,1,0,106.6245,7.235814
2,1,0,106.5003,7.768672
2,1,0,106.2329,8.317344
2,1,0.027976,105.9516,8.889245
2,1,0,105.5118,9.451449
2,1,0,104.9631,10.049955
2,1,0,104.3001,10.593698
2,1,0,103.6796,11.14811
2,1,0.019782,103.3376,11.578623
2,1,0,102.9214,11.945997
2,1,0.019782,102.5501,12.352561
2,1,0,102.2073,12.70335
2,1,0.019782,101.7972,13.155516
2,1,0,101.3762,13.618354
2,1,0,101.0517,13.985805
2,1,0,100.7031,14.333189
2,1,0,100.4526,14.592746
2,1,0,100.3765,14.810916
2,1,0,100.3165,15.037443
2,1,0,100.2658,15.28866
2,1,0.019782,100.1937,15.533704
2,1,0,100.1524,15.735503
2,1,0,100.1426,15.954851
2,1,0.019782,100.1586,16.118244
2,1,0,100.184,16.276056
2,1,0.019782,100.1334,16.363041
2,1,0.019782,100.1778,16.462547
2,1,0,100.1928,16.515705
2,1,0,100.2385,16.506981
2,1,0.019782,100.3192,16.499264
2,1,0,100.4204,16.480625
2,1,0,100.3632,16.355619
2,1,0.019782,100.2188,16.184233
2,1,0,100.0403,16.01683
2,1,0,99.7985,15.718721
2,1,0,99.7371,15.431345
2,1,0.019782,99.6476,15.058148
2,1,0,99.7983,14.552489
2,1,0.019782,100.0356,14.073864
2,1,0.019782,100.2746,13.50901
2,1,0.019782,100.6301,12.918468
2,1,0.019782,100.9788,12.304578
2,1,0.019782,101.3967,11.60943
2,1,0.019782,101.8522,10.990801
2,1,0,102.106,10.350736
2,1,0,102.3533,9.701398
2,1,0.019782,102.6144,9.087439
2,1,0,102.9012,8.429302
2,1,0,103.3574,7.826867
2,1,0,103.8217,7.194702
2,1,0.027976,104.1963,6.635484
2,1,0,104.6905,6.002765
2,1,0,105.2571,5.471171
2,1,0.019782,105.7363,4.871701
2,1,0,106.1937,4.212497
2,1,0.027976,106.9746,3.62666
2,1,0.027976,107.594,3.121799
2,1,0.019782,108.221,2.716349
2,1,0.027976,108.8768,2.247596
2,1,0.019782,109.4954,1.958047
2,1,0,109.9068,1.801462
2,1,0,110.149,1.823597
2,1,0.019782,110.3727,1.966127
2,1,0,110.4294,2.065638
2,1,0.019782,110.2793,2.203359
2,1,0,110.1146,2.378992
2,1,7.415688,106.0871,2.58043
2,1,10.495819,104.5025,2.802048
2,1,11.730351,103.8691,2.938782
2,1,13.288981,103.0957,3.028214
2,1,14.215932,102.5697,3.150265
2,1,15.591303,101.6561,3.270519
2,1,16.941925,100.7394,3.315584
2,1,18.075544,100.0537,3.397881
2,1,19.648323,99.187,3.319066
2,1,20.352207,98.7918,3.318063
2,1,20.599611,98.5677,3.253474
2,1,20.756603,98.4527,3.219479
2,1,22.038664,97.9887,3.233072
2,1,22.705563,97.7902,3.224886
2,1,23.85759,97.3177,3.155729
2,1,24.858416,96.898,3.103434
2,1,25.526388,96.6147,3.055885
2,1,25.535454,96.6402,3.007782
3,2,12.193479,96.1172,0.027976
3,2,12.186119,96.1088,0.048457
3,2,12.752085,95.9338,0.33455
3,2,12.016489,96.1021,0.481733
3,2,9.816702,96.9842,0.627761
3,2,5.157803,99.1308,0.760276
3,2,0,101.6283,0.934399
3,2,0,101.562,1.277175
3,2,0.019782,101.7617,1.566355
3,2,0.019782,102.025,1.732913
3,2,0,102.4484,1.913155
3,2,0.019782,102.9873,2.099284
3,2,0,103.5415,2.200604
3,2,0,103.9676,2.195083
3,2,0.019782,104.3899,1.980804
3,2,0.019782,104.7219,1.780812
3,2,0.019782,105.1777,1.550407
3,2,0.019782,105.5161,1.304763
3,2,0.019782,105.7107,1.280542
3,2,0.019782,105.6715,1.524569
3,2,0.019782,105.5583,2.068763
3,2,0.019782,105.3419,2.823483
3,2,0.027976,105.1195,3.68658
3,2,0.019782,104.9212,4.803221
3,2,0,104.5016,5.879433
3,2,0.019782,104.1568,7.13699
3,2,0.027976,103.8481,8.372453
3,2,0,103.6782,9.768009
3,2,0.019782,103.2008,11.1447
3,2,0.019782,103.1619,12.63813
3,2,0.019782,102.8304,14.023202
3,2,0.019782,102.4999,15.195833
3,2,0.027976,102.0943,16.492781
3,2,0,101.9186,17.411646
3,2,0,101.0795,18.126865
3,2,0,100.6702,19.243166
3,2,0.019782,100.1818,20.261656
3,2,0,99.4656,21.390343
3,2,0.019782,98.9405,22.378853
3,2,0,98.6098,23.265398
3,2,0.019782,98.3099,24.204756
3,2,0.027976,97.8764,25.107141
3,2,0,97.4081,25.959232
3,2,0,96.8788,26.727589
3,2,0,96.3539,27.404099
3,2,0,95.961,28.000372
3,2,0,95.6887,28.933619
3,2,0.019782,95.6492,31.273745
3,2,0,95.2196,32.244587
3,2,0,94.8081,33.159462
3,2,0.019782,94.4424,34.007229
3,2,0,94.0296,34.790596
3,2,0,93.6014,35.474171
3,2,0,93.3675,36.121643
3,2,0,93.1615,36.346794
3,2,0.019782,92.7744,36.413853
3,2,0,92.5387,38.330975
3,2,0.027976,92.5109,39.023674
3,2,0.019782,92.7628,39.695114
3,2,0,92.7489,40.222733
3,2,0.019782,92.6334,40.825401
3,2,0.019782,92.6345,40.960423
3,2,0,92.7059,41.973568
3,2,0,92.9779,42.493435
3,2,0,93.2787,43.133396
3,2,0.019782,93.5722,43.095085
3,2,0.019782,93.8156,42.599663
3,2,0,93.9854,42.041573
3,2,0.019782,94.345,43.182026
3,2,0,94.5061,42.84621
3,2,0,94.8362,42.51368
3,2,0,95.2722,42.522427
3,2,0,95.4953,42.283112
3,2,0,95.701,41.985435
3,2,0.027976,95.8011,41.242931
3,2,0,95.8489,40.228191
3,2,0.019782,95.9867,39.184948
3,2,0.019782,96.172,38.153263
3,2,0.019782,96.4985,37.098946
3,2,0,96.8858,36.09063
3,2,0.019782,97.2892,35.067078
3,2,0.019782,97.8025,34.077827
3,2,0,98.3009,33.064678
3,2,0,98.939,32.07338
3,2,0,99.5566,31.125139
3,2,0,100.3419,30.211946
3,2,0,101.105,29.300058
3,2,0.019782,101.7828,28.41201
3,2,0,102.4867,27.578207
3,2,0.019782,103.109,26.823174
3,2,0,103.7037,26.10792
3,2,0,104.2604,25.40477
3,2,0,104.7701,24.754168
3,2,0.019782,105.3125,24.120474
3,2,0,105.4566,23.518251
