Participant,GoodBad,Angle1,Angle2,Angle3
1,0,37.5836,85.7872,0
1,0,37.5866,85.7829,0
1,0,37.6227,85.708,0.019782
1,0,37.6205,85.7006,0.044235
1,0,37.5919,85.7267,0.052339
1,0,37.6511,85.7742,0.090654
1,0,37.7269,85.8051,0.10653
1,0,37.7038,85.844,0.12195
1,0,37.5371,85.9178,0.1282
1,0,37.6027,85.9045,0.14804
1,0,37.6092,85.9045,0.17246
1,0,37.6419,85.8587,0.18238
1,0,37.7347,85.7789,0.16786
1,0,37.7743,85.7454,0.14671
1,0,37.5134,85.7595,0.16669
1,0,37.3169,85.6427,0.18557
1,0,37.0369,85.3843,0.21122
1,0,37.2299,84.8647,0.24309
1,0,36.9484,84.5327,0.27124
1,0,36.1146,84.6728,0.38866
1,0,35.4161,84.5143,0.46267
1,0,34.9102,84.4623,0.53008
1,0,34.5189,84.2693,0.64407
1,0,33.9373,84.369,0.7282
1,0,33.2931,84.5834,0.75666
1,0,32.7974,84.6959,0.82163
1,0,32.2597,84.738,0.91043
1,0,31.8837,84.6524,0.96368
1,0,31.3241,84.559,1.0184
1,0,30.8805,84.4296,1.105
1,0,31.0226,84.0553,1.1522
1,0,30.6738,83.6877,1.1993
1,0,29.9978,83.432,1.2292
1,0,29.6558,83.0746,1.2618
1,0,29.2115,82.6964,1.2983
1,0,28.6532,82.6153,1.3468
1,0,27.8544,82.7466,1.3781
1,0,26.9107,82.9554,1.4299
1,0,26.1045,83.1041,1.4693
1,0,25.3761,83.3252,1.5307
1,0,24.047,83.6888,1.5815
1,0,23.2583,83.7978,1.6261
1,0,21.6115,84.3589,1.6942
1,0,20.0405,84.9245,1.7319
1,0,17.2467,86.1526,1.7967
1,0,14.8218,87.279,1.8512
1,0,12.3882,88.4511,1.8263
1,0,8.1395,90.2343,1.7176
1,0,3.6626,91.9993,1.7217
1,0,0.027976,93.4677,1.8024
1,0,0,93.4954,1.8505
1,0,0.019782,93.2443,1.9388
1,0,0,93.0833,2.0536
1,0,0.019782,93.0438,2.1439
1,0,0,93.1815,2.2843
1,0,0,93.0665,2.4436
1,0,0.019782,93.2952,2.5534
1,0,0,93.4163,2.6218
1,0,0,93.704,2.7331
1,0,0,94.5136,2.8583
1,0,0.027976,94.7085,2.9199
1,0,0.019782,95.0253,3.0019
1,0,0.027976,95.3267,3.1123
1,0,0.019782,95.2989,3.182
1,0,0.027976,95.5959,3.2453
1,0,0,95.464,3.3367
1,0,0,95.3996,3.3558
1,0,0.027976,95.5017,3.4016
1,0,0.019782,95.5533,3.4927
1,0,0,95.6629,3.4999
1,0,0,95.8377,3.4738
1,0,0,96.0256,3.4745
1,0,0.019782,95.946,3.4857
1,0,0,96.1156,3.4903
1,0,0.019782,95.9131,3.4918
1,0,0.019782,95.4304,3.5401
1,0,0.027976,95.0135,3.5502
1,0,0.019782,94.95,3.5613
1,0,0.019782,94.992,3.5711
1,0,0,94.7835,3.5952
1,0,0,94.8404,3.5951
1,0,0,95.0386,3.6379
1,0,0.019782,94.9048,3.6329
1,0,0.027976,94.6905,3.6458
1,0,0.019782,94.5014,3.6228
1,0,0,94.1383,3.557
1,0,0,93.9795,3.5307
1,0,0.019782,93.7958,3.4654
1,0,0.019782,93.4432,3.3779
1,0,0.019782,92.9966,3.3093
1,0,0.019782,92.6055,3.2394
1,0,0.019782,92.1548,3.1529
1,0,0,91.835,2.9706
1,0,0.019782,91.4185,2.8108
1,0,0,91.1652,2.7076
1,0,0,90.8197,2.5635
1,0,0.019782,90.632,2.3785
1,0,0,90.4487,2.1659
1,0,0.019782,90.3463,2.0674
1,0,0,90.2562,1.9175
1,0,0.027976,90.1178,1.7766
1,0,0.027976,90.002,1.6637
1,0,0,89.3835,1.4486
1,0,0.019782,88.6281,1.193
1,0,0,87.8058,1.0276
1,0,0.019782,86.8693,0.87514
1,0,0,86.1937,0.82091
1,0,0,85.3666,0.76643
1,0,0.027976,84.6966,0.78434
1,0,0,83.7281,0.8796
1,0,0,83.1782,0.8847
1,0,0.019782,82.8383,1.0264
1,0,0.019782,82.6468,1.1025
1,0,0.019782,82.6894,1.117
1,0,0.027976,82.9142,1.1443
1,0,0,83.275,1.1066
1,0,0,83.629,1.0423
1,0,0,84.137,0.97076
1,0,0.019782,84.5588,0.95981
1,0,0.019782,85.1125,0.94398
1,0,0.027976,85.4385,0.93544
1,0,0,85.9246,0.9547
1,0,0.019782,86.2987,0.98497
1,0,0.027976,86.6207,0.98437
1,0,0.019782,87.0173,0.98477
1,0,0.027976,87.5331,0.96753
1,0,0,87.9365,0.96042
1,0,0,88.3403,0.92132
1,0,0,88.6078,0.8675
1,0,0.019782,88.8605,0.84279
1,0,0,89.1341,0.80697
1,0,0.027976,89.4913,0.7577
1,0,0,89.7046,0.72362
1,0,0.019782,90.0187,0.657
1,0,0,90.3405,0.6215
1,0,0.019782,90.6614,0.60036
1,0,0,90.8804,0.56683
1,0,0,91.1326,0.51052
1,0,0,91.4872,0.4316
1,0,0.027976,91.4526,0.4275
1,0,0.019782,91.4838,0.45327
1,0,0.027976,91.6254,0.55249
1,0,0,91.5145,0.6579
1,0,0,91.7188,0.74467
1,0,0,92.26,0.79966
1,0,0,92.5651,0.92514
1,0,0.027976,93.1744,1.0616
1,0,0,93.5957,1.1993
1,0,0.019782,94.4826,1.311
1,0,0.027976,95.0423,1.4623
1,0,0,95.9027,1.5614
1,0,0,96.3836,1.6868
1,0,0,96.7632,1.7559
1,0,0.019782,97.66,1.8272
1,0,0,97.9833,1.8914
1,0,0,98.5475,1.9623
1,0,0,99.017,2.0305
1,0,0.019782,99.5066,2.0388
1,0,0.57198,99.8743,2.0688
1,0,8.8716,96.0721,2.1069
1,0,13.621,94.3874,2.1219
1,0,16.7344,93.172,2.1095
1,0,19.7376,92.1313,2.1494
1,0,22.7342,91.5226,2.1209
1,0,24.6912,90.861,2.1119
1,0,26.828,90.0374,2.1437
1,0,27.8375,89.8734,2.0989
1,0,29.674,89.0329,2.0636
1,0,30.7111,88.5335,2.0301
1,0,31.6269,87.9616,2.0173
1,0,33.2783,86.9496,1.9395
1,0,34.0652,86.4355,1.8675
1,0,34.8801,85.8447,1.8559
1,0,35.8325,85.2759,1.8347
1,0,36.4714,85.1195,1.831
1,0,37.5319,84.687,1.798
1,0,38.0062,84.8412,1.8046
1,0,38.6885,84.8846,1.8182
1,0,39.3156,84.7052,1.8002
1,0,39.8418,85.0238,1.7853
1,0,40.1334,85.1214,1.7863
1,0,40.5444,85.2214,1.7775
1,0,40.8515,85.4917,1.7094
1,0,41.067,85.6287,1.6648
1,0,41.1007,85.6033,1.6477
1,0,41.1188,85.6693,1.59
1,0,41.1404,85.4859,1.5185
1,0,41.0686,85.3156,1.4544
1,0,40.8977,85.0657,1.4262
1,0,40.9819,84.8575,1.3872
1,0,40.9023,84.6259,1.3231
1,0,40.6872,84.5016,1.2376
1,0,40.6247,84.4433,1.185
1,0,40.6905,84.2136,1.095
1,0,40.5945,84.317,1.0188
1,0,40.526,84.6149,0.97076
1,0,40.6171,84.827,0.92767
1,0,40.7036,84.9308,0.86547
1,0,40.5792,84.9243,0.83016
2,1,38.1611,82.6927,0.027976
2,1,38.3003,82.8677,0.15195
2,1,38.5323,82.7916,0.30519
2,1,37.9436,83.4049,0.51129
2,1,37.4791,84.2192,0.70081
2,1,37.138,84.7757,0.81012
2,1,35.7796,86.4189,1.055
2,1,35.4717,87.5586,1.2541
2,1,35.6385,88.2682,1.3959
2,1,36.141,88.637,1.5695
2,1,36.3357,89.26,1.8071
2,1,36.5585,89.9259,2.0724
2,1,36.5825,91.2155,2.4554
2,1,36.6068,92.5408,2.7892
2,1,37.0822,94.1747,3.1411
2,1,37.6893,95.4922,3.4786
2,1,38.2341,97.3038,3.9188
2,1,38.6953,99.3582,4.3838
2,1,38.7196,101.4564,4.8597
2,1,38.3409,103.9911,5.39
2,1,37.7012,106.1449,5.8796
2,1,36.4941,109.1566,6.5924
2,1,35.3004,112.0435,7.164
2,1,34.2155,114.6262,7.7268
2,1,33.3077,117.0002,8.4002
2,1,32.5933,119.5106,9.0762
2,1,32.9239,121.5708,9.733
2,1,33.1417,122.7004,10.1985
2,1,33.4653,124.6429,10.9848
2,1,33.4771,126.6804,11.6029
2,1,33.4079,128.4322,12.1993
2,1,33.411,130.0448,12.8812
2,1,33.6985,131.1894,13.1722
2,1,32.9523,132.6313,13.7297
2,1,32.7723,133.8288,14.1244
2,1,32.7213,134.7487,14.3965
2,1,32.3053,135.8351,14.7777
2,1,32.0953,136.8497,15.0462
2,1,31.4773,137.4697,15.2259
2,1,31.4574,137.906,15.3841
2,1,31.6709,138.0753,15.5119
2,1,31.454,138.4779,15.5783
2,1,31.2074,138.7808,15.5679
2,1,30.9749,138.7436,15.5381
2,1,31.3598,138.225,15.4747
2,1,31.7001,137.6168,15.3314
2,1,31.7029,136.7751,15.0853
2,1,32.4124,135.898,14.8248
2,1,32.5109,135.0808,14.5064
2,1,32.5853,134.0636,14.1139
2,1,33.453,132.4258,13.596
2,1,33.6816,131.4368,13.1295
2,1,33.7192,130.3886,12.4922
2,1,34.0847,129.1958,11.828
2,1,34.5752,128.0487,11.1898
2,1,34.5519,127.0122,10.4432
2,1,34.7112,125.6543,9.7829
2,1,34.4996,124.0637,8.9993
2,1,34.5255,122.9475,8.374
2,1,34.5327,121.1601,7.5894
2,1,34.3649,119.9252,7.0315
2,1,34.0733,118.3186,6.2911
2,1,34.118,116.9012,5.7432
2,1,34.6343,115.3263,5.0695
2,1,34.865,114.3073,4.5563
2,1,35.1753,113.2007,4.1344
2,1,35.8649,111.6395,3.4051
2,1,36.6057,110.519,2.9499
2,1,36.9154,109.0089,2.5286
2,1,37.4116,107.7999,2.1287
2,1,37.6044,106.592,1.8221
2,1,37.4515,105.2592,1.4928
2,1,37.5448,104.2359,1.286
2,1,37.1471,103.1436,1.1057
2,1,36.7668,102.0416,0.93125
2,1,36.4438,100.7878,0.65611
2,1,36.2451,99.4712,0.45714
2,1,36.193,98.6361,0.28939
2,1,36.0274,97.5326,0.14402
2,1,35.989,96.1519,0.25101
2,1,36.1817,94.9245,0.3109
2,1,36.3521,93.3986,0.36904
2,1,36.4878,92.211,0.38866
2,1,36.4286,90.9084,0.87066
2,1,36.2155,89.7436,1.0677
2,1,35.8123,88.4276,1.2633
2,1,35.0736,87.9558,1.4285
2,1,35.0344,87.5379,0.95491
2,1,35.7904,87.2512,0.545
2,1,35.8385,86.7123,0.4419
2,1,35.8167,86.0488,0.41022
2,1,35.6243,85.301,0.37639
2,1,35.462,84.631,0.32082
2,1,35.5127,83.8842,0.26834
2,1,35.6953,83.1603,0.25793
2,1,35.9789,82.712,0.31837
2,1,36.5054,81.9897,0.5132
2,1,37.298,81.0738,0.6287
2,1,37.631,80.4107,0.75847
2,1,37.5946,80.1524,0.85615
2,1,37.6367,80.0136,0.99071
2,1,37.8629,79.9285,1.0666
2,1,37.8509,79.9962,1.1442
2,1,37.7726,80.1577,1.1765
3,2,41.9772,75.672,0.027976
3,2,41.96,75.6443,0.052339
3,2,41.9671,75.7597,0.14671
3,2,41.9127,75.8798,0.25641
