Participant,GoodBad,Angle1,Angle2,Angle3
1,0,36.1014,84.3763,0.019782
1,0,36.9134,84.1121,1.1777
1,0,36.8563,83.889,1.1855
1,0,36.672,83.8068,1.1886
1,0,36.4861,83.7211,1.1851
1,0,36.3012,83.6324,1.1799
1,0,36.0276,83.6728,1.1865
1,0,35.7607,83.6442,1.194
1,0,35.5483,83.6268,1.1935
1,0,35.1951,83.8093,1.2012
1,0,34.7787,83.951,1.2246
1,0,34.5375,83.8827,1.2491
1,0,34.3304,83.878,1.2684
1,0,34.0006,83.7994,1.2897
1,0,33.4797,83.6897,1.3161
1,0,33.186,83.5868,1.3028
1,0,32.8865,83.2452,1.304
1,0,32.4867,83.0092,1.2726
1,0,31.4349,83.1133,1.2342
1,0,31.0962,83.1003,1.1912
1,0,30.4818,83.1121,1.1354
1,0,29.6716,83.1596,1.0803
1,0,28.5416,83.3973,1.0249
1,0,27.6647,83.5066,0.96246
1,0,26.6744,83.5269,0.90396
1,0,25.392,83.5924,0.83134
1,0,23.9372,83.8299,0.74283
1,0,22.0187,84.2855,0.64316
1,0,20.0581,84.906,0.57267
1,0,17.3396,85.9593,0.46897
1,0,14.3613,87.0405,0.37898
1,0,11.3151,88.2935,0.31898
1,0,0.019782,93.1774,0.26319
1,0,0,93.1316,0.23155
1,0,0,93.0072,0.2698
1,0,0.019782,92.9126,0.30647
1,0,0,92.6078,0.39811
1,0,0,92.8505,0.40542
1,0,0.027976,92.8009,0.4275
1,0,0,92.5776,0.47105
1,0,0,92.6046,0.5532
1,0,0,92.7496,0.67289
1,0,0,92.5374,0.72281
1,0,0,92.5966,0.80576
1,0,0.027976,92.5768,0.82496
1,0,0,92.5292,0.82756
1,0,0,92.4324,0.8372
1,0,0,92.4194,0.89809
1,0,0,92.5453,0.98019
1,0,0,92.5655,1.0737
1,0,0,92.8188,1.2142
1,0,0,92.8204,1.3341
1,0,0.027976,92.8483,1.4533
1,0,0,92.8563,1.5083
1,0,0,93.1695,1.6066
1,0,0,93.0496,1.5902
1,0,0,92.9961,1.6626
1,0,0.027976,93.0051,1.7178
1,0,0.027976,92.9218,1.8023
1,0,0.027976,92.6816,1.8479
1,0,0.019782,92.4466,1.9785
1,0,0,92.4087,2.1274
1,0,0,92.3816,2.304
1,0,0.027976,92.4606,2.4153
1,0,0.019782,92.6399,2.5018
1,0,0.019782,92.807,2.5999
1,0,0.027976,92.9303,2.6646
1,0,0.027976,93.0048,2.6765
1,0,0,93.0775,2.6972
1,0,0.019782,93.1361,2.6866
1,0,0.019782,93.2048,2.696
1,0,0.019782,93.2349,2.6344
1,0,0,93.3402,2.5696
1,0,0.027976,93.4091,2.51
1,0,0,93.4121,2.4376
1,0,0.019782,93.4517,2.3356
1,0,0.019782,93.4699,2.2798
1,0,0.019782,93.4808,2.2178
1,0,0.019782,93.4856,2.1967
