Participant,GoodBad,Angle1,Angle2,Angle3
1,0,14.4959,88.3689,0.40348
1,0,10.4843,85.0474,0.38155
1,0,11.5044,85.3295,0.38614
1,0,13.0376,85.884,0.36477
1,0,14.5501,86.4136,0.30964
1,0,15.4664,86.4743,0.28462
1,0,15.9626,86.1477,0.28255
1,0,16.3997,85.8069,0.21398
1,0,16.9102,85.5729,0.14804
1,0,17.6142,85.1954,0.076617
1,0,18.336,84.5716,0.048457
1,0,19.0816,84.1307,0
1,0,19.3543,83.7141,0.074019
1,0,18.7985,83.2567,0.096913
1,0,18.321,83.0725,0.11703
1,0,18.0673,83.032,0.10835
1,0,18.4411,83.133,0.092787
1,0,19.7885,83.4874,0.079129
1,0,21.5611,83.8172,0.088469
1,0,22.6995,83.9072,0.11364
1,0,23.0834,83.6116,0.26467
1,0,21.8646,83.0511,0.39664
1,0,20.7155,82.7659,0.5385
1,0,20.1971,82.7715,0.67522
1,0,20.3055,82.9198,0.82756
1,0,20.6079,83.1105,1.0074
1,0,20.3687,82.772,1.1757
1,0,19.6969,82.0085,1.3359
1,0,18.9803,81.7894,1.4979
1,0,18.9513,81.8633,1.6896
1,0,18.5157,82.0648,1.8583
1,0,17.8767,82.7362,2.0158
1,0,17.2794,83.6291,2.1714
1,0,16.4768,83.8949,2.3244
1,0,15.9684,83.8397,2.4912
1,0,15.6603,83.866,2.6175
1,0,15.6047,83.7758,2.7597
1,0,15.6543,83.6447,2.8706
1,0,15.5807,83.3534,2.9935
1,0,15.8021,82.9196,3.0835
1,0,15.3591,82.772,3.1947
1,0,14.6172,82.8695,3.3505
1,0,14.3505,82.9757,3.4737
1,0,14.6761,82.6943,3.5038
1,0,14.4036,82.111,3.5317
1,0,14.3665,81.5815,3.5157
1,0,13.9571,81.2334,3.5439
1,0,13.0103,81.1327,3.5422
1,0,11.7288,81.2534,3.5528
1,0,10.9339,81.4111,3.5994
1,0,9.8116,81.5553,3.6879
1,0,8.5482,81.9777,3.7225
1,0,7.5214,82.4844,3.7525
1,0,7.1174,82.5974,3.766
1,0,7.036,82.671,3.7532
1,0,6.5191,82.9031,3.7915
1,0,6.3479,82.9335,3.787
1,0,5.6101,83.594,3.7299
1,0,5.1147,84.2375,3.6206
1,0,4.9103,84.3361,3.6122
1,0,5.0457,84.0117,3.5972
1,0,5.6524,83.4643,3.6051
1,0,6.0482,83.3111,3.5072
1,0,5.9455,83.5146,3.5007
1,0,5.7867,83.8692,3.4891
1,0,5.2775,84.5861,3.4476
1,0,4.8626,85.1288,3.4086
1,0,5.2925,85.0708,3.3103
1,0,5.8716,85.3502,3.2307
1,0,6.5351,85.5242,3.1256
1,0,6.7882,85.4115,3.0598
1,0,6.5934,85.5052,2.9827
1,0,6.2355,85.8565,2.8756
1,0,6.019,86.1046,2.7802
1,0,7.3339,85.9271,2.6992
1,0,7.7184,85.7717,2.6539
1,0,7.8242,85.5867,2.6607
1,0,7.5814,85.8057,2.6759
1,0,6.9632,86.0851,2.6781
1,0,6.5295,86.0974,2.6368
1,0,6.3484,85.6466,2.5785
1,0,6.5092,85.4247,2.5496
1,0,6.4604,85.4135,2.56
1,0,6.9262,85.0907,2.5407
1,0,6.5831,84.8847,2.5531
1,0,5.7262,85.3545,2.6168
1,0,5.6668,85.3924,2.7088
1,0,5.5463,85.6117,2.7362
1,0,5.619,85.7873,2.7812
1,0,6.0127,85.5829,2.7841
1,0,6.1125,85.7324,2.8094
1,0,5.7374,86.1242,2.8493
1,0,5.4647,86.4468,2.9033
1,0,4.5767,86.4908,2.96
1,0,4.9688,86.3106,3.0627
1,0,5.1569,86.5577,3.1909
1,0,5.1208,86.9086,3.2943
1,0,5.8786,86.3427,3.3754
1,0,6.0479,86.1487,3.4581
1,0,6.1224,86.2187,3.5605
1,0,6.3611,86.0913,3.6596
1,0,6.5195,86.0014,3.7684
1,0,6.6735,85.8269,3.8519
1,0,6.6751,85.9238,3.8944
1,0,6.4241,86.2179,3.9099
1,0,6.6417,86.1427,3.9531
1,0,6.8322,86.1954,3.9741
1,0,6.5646,86.5104,3.9414
1,0,6.3992,86.7416,3.9356
1,0,6.4442,86.5438,3.905
1,0,6.3647,86.5658,3.8794
1,0,6.407,86.509,3.814
1,0,6.5061,86.3175,3.7281
1,0,6.7005,86.1787,3.5951
1,0,7.0486,85.7688,3.4632
1,0,6.9406,85.6807,3.2865
1,0,7.4116,85.1887,3.1231
1,0,7.9128,84.4961,2.9644
1,0,8.0848,83.8647,2.801
1,0,8.1222,83.8718,2.674
1,0,8.3462,83.8499,2.6123
1,0,8.5452,83.3939,2.6426
1,0,8.5592,83.0621,2.5725
1,0,8.2929,83.1569,2.4977
1,0,7.9914,83.5886,2.4254
1,0,7.7771,83.7749,2.4563
1,0,8.2593,83.0455,2.4442
1,0,8.607,82.4505,2.4533
1,0,8.8112,82.1965,2.4452
1,0,9.3558,81.6356,2.4171
1,0,9.6532,81.1575,2.3822
1,0,9.4274,81.4703,2.3414
1,0,9.0414,81.9929,2.2671
1,0,8.5566,82.4034,2.2058
1,0,8.6344,82.1007,2.1929
1,0,8.7752,81.5451,2.1437
1,0,9.558,80.5753,2.0677
1,0,9.8256,79.5912,2.0804
1,0,9.629,79.0561,2.1622
1,0,9.2673,79.0754,2.1955
1,0,8.4713,79.4963,2.1549
1,0,7.922,79.724,2.1384
1,0,7.5726,79.9483,2.1152
1,0,7.2219,79.8846,2.1632
1,0,6.8634,79.8218,2.214
1,0,6.3096,80.0557,2.2933
1,0,5.8145,80.4085,2.3126
1,0,5.3092,80.7226,2.3534
1,0,5.0329,80.6824,2.416
1,0,4.7007,80.6144,2.4458
1,0,4.2856,80.5374,2.4605
1,0,4.1854,80.2564,2.4744
